artist;album;release_date;userscore;metascore;link_album;link_img
John Howard & The Night Mail;John Howard & the Night Mail;2015-08-21;76;87;https://www.metacritic.com/music/john-howard-the-night-mail/john-howard-the-night-mail;https://static.metacritic.com/images/products/music/0/610f325c4413d3b2b526bb83854057ea-98.jpg
Susanne Sundfør;Ten Love Songs;2015-02-16;88;87;https://www.metacritic.com/music/ten-love-songs/susanne-sundfor;https://static.metacritic.com/images/products/music/4/974bbe77a2bf7243ff131bf016cd7258-98.jpg
Hiatus Kaiyote;Choose Your Weapon;2015-05-04;85;87;https://www.metacritic.com/music/choose-your-weapon/hiatus-kaiyote;https://static.metacritic.com/images/products/music/2/e71319708cd62fd052fb6b12edd5343e-98.jpg
Hop Along;Painted Shut;2015-05-04;84;87;https://www.metacritic.com/music/painted-shut/hop-along;https://static.metacritic.com/images/products/music/2/f568e643422a74b1dd0364fd74fb6cd1-98.jpg
Vince Staples;Summertime '06;2015-06-30;86;87;https://www.metacritic.com/music/summertime-06/vince-staples;https://static.metacritic.com/images/products/music/3/0bea98f4bb1c2e2d24f6a3257a49489e-98.jpg
Björk;Vulnicura;2015-01-20;88;87;https://www.metacritic.com/music/vulnicura/bjork;https://static.metacritic.com/images/products/music/4/50cece80ba8dac7c180a88f6ebbdebb9-98.jpg
Father John Misty;I Love You, Honeybear;2015-02-10;86;87;https://www.metacritic.com/music/i-love-you-honeybear/father-john-misty;https://static.metacritic.com/images/products/music/8/5be825a186c246a7730940c768bbf036-98.jpg
Various Artists;Remembering Mountains: Unheard Songs By Karen Dalton;2015-05-26;72;87;https://www.metacritic.com/music/remembering-mountains-unheard-songs-by-karen-dalton/various-artists;https://static.metacritic.com/images/products/music/1/9d80963d4841756c8843eaa4f66e11e2-98.jpg
Jamie xx;In Colour;2015-06-02;87;87;https://www.metacritic.com/music/in-colour/jamie-xx;https://static.metacritic.com/images/products/music/0/1146d14b9b1994ee40e91aea70eb01a6-98.jpg
Dave Rawlings Machine;Nashville Obsolete;2015-09-18;71;87;https://www.metacritic.com/music/nashville-obsolete/dave-rawlings-machine;https://static.metacritic.com/images/products/music/5/a892460764f4907a50d1b52f31bcbfa7-98.jpg
Natalie Prass;Natalie Prass;2015-01-27;80;86;https://www.metacritic.com/music/natalie-prass/natalie-prass;https://static.metacritic.com/images/products/music/5/3fa28314f510d48618f408ff711c483f-98.jpg
Jlin;Dark Energy;2015-03-24;71;86;https://www.metacritic.com/music/dark-energy/jlin;https://static.metacritic.com/images/products/music/9/1a1e553d45349f1a62d968fbf04c83a8-98.jpg
Ashley Monroe;The Blade;2015-07-24;81;86;https://www.metacritic.com/music/the-blade/ashley-monroe;https://static.metacritic.com/images/products/music/8/287aab7ae0600c949a9939d9b469d089-98.jpg
Drive-By Truckers;It's Great to Be Alive! [Live];2015-10-30;86;86;https://www.metacritic.com/music/its-great-to-be-alive!-live/drive-by-truckers;https://static.metacritic.com/images/products/music/5/e9e51f065294177b0d4b87474e9e8932-98.jpg
Various Artists;Joy of Living: A Tribute to Ewan Maccoll;2015-10-30;null;86;https://www.metacritic.com/music/joy-of-living-a-tribute-to-ewan-maccoll/various-artists;https://static.metacritic.com/images/products/music/1/e304372e7fc42cb8ecb56ec674f29375-98.jpg
Jim O'Rourke;Simple Songs;2015-05-19;84;86;https://www.metacritic.com/music/simple-songs/jim-orourke;https://static.metacritic.com/images/products/music/9/bbd3b43860e14a0a7c7b84f7761d042e-98.jpg
Donnie Trumpet & The Social Experiment;Surf;2015-05-29;82;86;https://www.metacritic.com/music/surf/donnie-trumpet-the-social-experiment;https://static.metacritic.com/images/products/music/0/3d8df59dca7d8d1f1f44cfce852c2bac-98.jpg
Destroyer;Poison Season;2015-08-28;80;86;https://www.metacritic.com/music/poison-season/destroyer;https://static.metacritic.com/images/products/music/4/e4780e269ffd8266f0324c8626df29c3-98.jpg
Protomartyr;The Agent Intellect;2015-10-09;82;85;https://www.metacritic.com/music/the-agent-intellect/protomartyr;https://static.metacritic.com/images/products/music/9/e44065f1dee61d94cce7850acec49dfa-98.jpg
Jazmine Sullivan;Reality Show;2015-01-13;87;85;https://www.metacritic.com/music/reality-show/jazmine-sullivan;https://static.metacritic.com/images/products/music/7/11644e4dd11f5ea736071ef892a0667d-98.jpg
